Export-URL;Impressionen;HTTP-Status;Finale Live-URL;Zugeordnete Projekt-URL;Mögliche Zielseite (ungeprüfte Inhaltsentscheidung);Zuordnung;Zeitraum
https://www.powertech-performance.com/suhl/;3;404;https://www.powertech-performance.com/suhl/;;https://powertech-performance.com/suhl;"keine Messwertübertragung; 404 / Inhaltszuordnung zu prüfen";unbekannt
https://www.powertech-performance.com/blog/auto-selber-waschen-erfurt/;2;200;https://www.powertech-performance.com/blog/auto-selber-waschen-erfurt/;https://powertech-performance.com/blog/auto-selber-waschen-erfurt/;;belegt durch identisches Live-Endziel;unbekannt
https://www.powertech-performance.com/blog/harte-weiche-autolacke-lackaufbereitung/;2;200;https://www.powertech-performance.com/blog/harte-weiche-autolacke-lackaufbereitung/;https://powertech-performance.com/blog/harte-weiche-autolacke-lackaufbereitung/;;belegt durch identisches Live-Endziel;unbekannt
https://www.powertech-performance.com/blog/motorradaufbereitung-keramikversiegelung-experte/;2;200;https://www.powertech-performance.com/blog/motorradaufbereitung-keramikversiegelung-experte/;https://powertech-performance.com/blog/motorradaufbereitung-keramikversiegelung-experte/;;belegt durch identisches Live-Endziel;unbekannt
https://www.powertech-performance.com/gera/;2;404;https://www.powertech-performance.com/gera/;;https://powertech-performance.com/gera;"keine Messwertübertragung; 404 / Inhaltszuordnung zu prüfen";unbekannt
https://www.powertech-performance.com/oldtimer-aufbereitung-erfurt-wertschonende-pflege/;2;404;https://www.powertech-performance.com/oldtimer-aufbereitung-erfurt-wertschonende-pflege/;;https://powertech-performance.com/blog/oldtimer-aufbereitung-erfurt-wertschonende-pflege/;"keine Messwertübertragung; 404 / Inhaltszuordnung zu prüfen";unbekannt
https://www.powertech-performance.com/online-termin-buchen/;2;404;https://www.powertech-performance.com/online-termin-buchen/;;https://powertech-performance.com/online-termin-buchen;"keine Messwertübertragung; 404 / Inhaltszuordnung zu prüfen";unbekannt
https://www.powertech-performance.com/professionelle-keramikversiegelung-erfurt/;2;404;https://www.powertech-performance.com/professionelle-keramikversiegelung-erfurt/;;https://powertech-performance.com/blog/professionelle-keramikversiegelung-erfurt/;"keine Messwertübertragung; 404 / Inhaltszuordnung zu prüfen";unbekannt
https://www.powertech-performance.com/audi-r8-aufbereitung-erfurt-keramikversiegelung/;1;404;https://www.powertech-performance.com/audi-r8-aufbereitung-erfurt-keramikversiegelung/;;https://powertech-performance.com/blog/audi-r8-aufbereitung-erfurt-keramikversiegelung/;"keine Messwertübertragung; 404 / Inhaltszuordnung zu prüfen";unbekannt
https://www.powertech-performance.com/blog/;1;200;https://www.powertech-performance.com/blog/;https://powertech-performance.com/blog/;;belegt durch identisches Live-Endziel;unbekannt
https://www.powertech-performance.com/blog/1-step-2-step-oder-lackkorrektur-lackaufbereitung-im-vergleich/;1;200;https://www.powertech-performance.com/blog/1-step-2-step-oder-lackkorrektur-lackaufbereitung-im-vergleich/;https://powertech-performance.com/blog/1-step-2-step-oder-lackkorrektur-lackaufbereitung-im-vergleich/;;belegt durch identisches Live-Endziel;unbekannt
https://www.powertech-performance.com/blog/aufbereiter-vs-detailer-unterschied/;1;200;https://www.powertech-performance.com/blog/aufbereiter-vs-detailer-unterschied/;https://powertech-performance.com/blog/aufbereiter-vs-detailer-unterschied/;;belegt durch identisches Live-Endziel;unbekannt
https://www.powertech-performance.com/blog/haltbarkeit-keramikversiegelung-lackschutz/;1;200;https://www.powertech-performance.com/blog/haltbarkeit-keramikversiegelung-lackschutz/;https://powertech-performance.com/blog/haltbarkeit-keramikversiegelung-lackschutz/;;belegt durch identisches Live-Endziel;unbekannt
https://www.powertech-performance.com/blog/harte-und-weiche-autolacke-der-geheime-schlssel-zur-perfekten-lackaufbereitung-2/;1;200;https://www.powertech-performance.com/blog/harte-und-weiche-autolacke-der-geheime-schlssel-zur-perfekten-lackaufbereitung-2/;https://powertech-performance.com/blog/harte-und-weiche-autolacke-der-geheime-schlssel-zur-perfekten-lackaufbereitung-2/;;belegt durch identisches Live-Endziel;unbekannt
https://www.powertech-performance.com/blog/harte-und-weiche-autolacke-der-geheime-schlssel-zur-perfekten-lackaufbereitung/;1;200;https://www.powertech-performance.com/blog/harte-und-weiche-autolacke-der-geheime-schlssel-zur-perfekten-lackaufbereitung/;https://powertech-performance.com/blog/harte-und-weiche-autolacke-der-geheime-schlssel-zur-perfekten-lackaufbereitung/;;belegt durch identisches Live-Endziel;unbekannt
https://www.powertech-performance.com/blog/oldtimer-aufbereitung-erfurt-wertschonende-pflege/;1;200;https://www.powertech-performance.com/blog/oldtimer-aufbereitung-erfurt-wertschonende-pflege/;https://powertech-performance.com/blog/oldtimer-aufbereitung-erfurt-wertschonende-pflege/;;belegt durch identisches Live-Endziel;unbekannt
https://www.powertech-performance.com/boot-aufbereitung-keramikversiegelung-marine/;1;404;https://www.powertech-performance.com/boot-aufbereitung-keramikversiegelung-marine/;;https://powertech-performance.com/blog/boot-aufbereitung-keramikversiegelung-marine/;"keine Messwertübertragung; 404 / Inhaltszuordnung zu prüfen";unbekannt
https://www.powertech-performance.com/harte-und-weiche-autolacke-der-geheime-schlssel-zur-perfekten-lackaufbereitung-2/;1;404;https://www.powertech-performance.com/harte-und-weiche-autolacke-der-geheime-schlssel-zur-perfekten-lackaufbereitung-2/;;https://powertech-performance.com/blog/harte-und-weiche-autolacke-der-geheime-schlssel-zur-perfekten-lackaufbereitung-2/;"keine Messwertübertragung; 404 / Inhaltszuordnung zu prüfen";unbekannt
https://www.powertech-performance.com/keramik-fuer-auto-erfurt-vorteile-haltbarkeit/;1;404;https://www.powertech-performance.com/keramik-fuer-auto-erfurt-vorteile-haltbarkeit/;;https://powertech-performance.com/blog/keramik-fuer-auto-erfurt-vorteile-haltbarkeit/;"keine Messwertübertragung; 404 / Inhaltszuordnung zu prüfen";unbekannt
https://www.powertech-performance.com/professionelle-cabrioverdeck-impraegnierung-und-reinigung/;1;404;https://www.powertech-performance.com/professionelle-cabrioverdeck-impraegnierung-und-reinigung/;;https://powertech-performance.com/blog/professionelle-cabrioverdeck-impraegnierung-und-reinigung/;"keine Messwertübertragung; 404 / Inhaltszuordnung zu prüfen";unbekannt
https://www.powertech-performance.com/profi-keramikversiegelung/;1;404;https://www.powertech-performance.com/profi-keramikversiegelung/;;https://powertech-performance.com/blog/profi-keramikversiegelung/;"keine Messwertübertragung; 404 / Inhaltszuordnung zu prüfen";unbekannt
