Export-URL;Impressionen;Zeitraum;Live HTTP (Analyse-Snapshot);Lokale Zuordnung;Lokaler Status;Zuordnungstyp;Mögliche Zielseite;Status;Veröffentlichung
https://www.powertech-performance.com/lackierung-oldtimer-erfurt-lackaufbereitung-keramik/;3;unbekannt;404;https://www.powertech-performance.com/blog/lackierung-oldtimer-erfurt-lackaufbereitung-keramik/;308;"Redirect lokal implementiert; kein rückwirkender Messwert-Join";;umgesetzt;ausstehend
https://www.powertech-performance.com/leasing-rueckgabe-aufbereitung-erfurt/;3;unbekannt;404;https://www.powertech-performance.com/blog/leasing-rueckgabe-aufbereitung-erfurt/;308;"Redirect lokal implementiert; kein rückwirkender Messwert-Join";;umgesetzt;ausstehend
https://www.powertech-performance.com/softwareoptimierung-erfurt/;3;unbekannt;404;https://www.powertech-performance.com/blog/softwareoptimierung-erfurt/;308;"Redirect lokal implementiert; kein rückwirkender Messwert-Join";;umgesetzt;ausstehend
https://www.powertech-performance.com/suhl/;3;unbekannt;404;https://www.powertech-performance.com/suhl;308;"Redirect lokal implementiert; kein rückwirkender Messwert-Join";;umgesetzt;ausstehend
https://www.powertech-performance.com/blog/auto-selber-waschen-erfurt/;2;unbekannt;200;https://www.powertech-performance.com/blog/auto-selber-waschen-erfurt/;200;identische Quell-URL;;umgesetzt;ausstehend
https://www.powertech-performance.com/blog/harte-weiche-autolacke-lackaufbereitung/;2;unbekannt;200;https://www.powertech-performance.com/blog/harte-weiche-autolacke-lackaufbereitung/;200;identische Quell-URL;;umgesetzt;ausstehend
https://www.powertech-performance.com/blog/motorradaufbereitung-keramikversiegelung-experte/;2;unbekannt;200;https://www.powertech-performance.com/blog/motorradaufbereitung-keramikversiegelung-experte/;200;identische Quell-URL;;umgesetzt;ausstehend
https://www.powertech-performance.com/gera/;2;unbekannt;404;https://www.powertech-performance.com/gera;308;"Redirect lokal implementiert; kein rückwirkender Messwert-Join";;umgesetzt;ausstehend
https://www.powertech-performance.com/oldtimer-aufbereitung-erfurt-wertschonende-pflege/;2;unbekannt;404;https://www.powertech-performance.com/blog/oldtimer-aufbereitung-erfurt-wertschonende-pflege/;308;"Redirect lokal implementiert; kein rückwirkender Messwert-Join";;umgesetzt;ausstehend
https://www.powertech-performance.com/online-termin-buchen/;2;unbekannt;404;https://www.powertech-performance.com/online-termin-buchen;308;"Redirect lokal implementiert; kein rückwirkender Messwert-Join";;umgesetzt;ausstehend
https://www.powertech-performance.com/professionelle-keramikversiegelung-erfurt/;2;unbekannt;404;https://www.powertech-performance.com/blog/professionelle-keramikversiegelung-erfurt/;308;"Redirect lokal implementiert; kein rückwirkender Messwert-Join";;umgesetzt;ausstehend
https://www.powertech-performance.com/audi-r8-aufbereitung-erfurt-keramikversiegelung/;1;unbekannt;404;https://www.powertech-performance.com/blog/audi-r8-aufbereitung-erfurt-keramikversiegelung/;308;"Redirect lokal implementiert; kein rückwirkender Messwert-Join";;umgesetzt;ausstehend
https://www.powertech-performance.com/blog/;1;unbekannt;200;https://www.powertech-performance.com/blog/;200;identische Quell-URL;;umgesetzt;ausstehend
https://www.powertech-performance.com/blog/1-step-2-step-oder-lackkorrektur-lackaufbereitung-im-vergleich/;1;unbekannt;200;https://www.powertech-performance.com/blog/1-step-2-step-oder-lackkorrektur-lackaufbereitung-im-vergleich/;200;identische Quell-URL;;umgesetzt;ausstehend
https://www.powertech-performance.com/blog/aufbereiter-vs-detailer-unterschied/;1;unbekannt;200;https://www.powertech-performance.com/blog/aufbereiter-vs-detailer-unterschied/;200;identische Quell-URL;;umgesetzt;ausstehend
https://www.powertech-performance.com/blog/haltbarkeit-keramikversiegelung-lackschutz/;1;unbekannt;200;https://www.powertech-performance.com/blog/haltbarkeit-keramikversiegelung-lackschutz/;200;identische Quell-URL;;umgesetzt;ausstehend
https://www.powertech-performance.com/blog/harte-und-weiche-autolacke-der-geheime-schlssel-zur-perfekten-lackaufbereitung-2/;1;unbekannt;200;https://www.powertech-performance.com/blog/harte-und-weiche-autolacke-der-geheime-schlssel-zur-perfekten-lackaufbereitung-2/;200;identische Quell-URL;;umgesetzt;ausstehend
https://www.powertech-performance.com/blog/harte-und-weiche-autolacke-der-geheime-schlssel-zur-perfekten-lackaufbereitung/;1;unbekannt;200;https://www.powertech-performance.com/blog/harte-und-weiche-autolacke-der-geheime-schlssel-zur-perfekten-lackaufbereitung/;200;identische Quell-URL;;umgesetzt;ausstehend
https://www.powertech-performance.com/blog/oldtimer-aufbereitung-erfurt-wertschonende-pflege/;1;unbekannt;200;https://www.powertech-performance.com/blog/oldtimer-aufbereitung-erfurt-wertschonende-pflege/;200;identische Quell-URL;;umgesetzt;ausstehend
https://www.powertech-performance.com/boot-aufbereitung-keramikversiegelung-marine/;1;unbekannt;404;https://www.powertech-performance.com/blog/boot-aufbereitung-keramikversiegelung-marine/;308;"Redirect lokal implementiert; kein rückwirkender Messwert-Join";;umgesetzt;ausstehend
https://www.powertech-performance.com/harte-und-weiche-autolacke-der-geheime-schlssel-zur-perfekten-lackaufbereitung-2/;1;unbekannt;404;https://www.powertech-performance.com/blog/harte-und-weiche-autolacke-der-geheime-schlssel-zur-perfekten-lackaufbereitung-2/;308;"Redirect lokal implementiert; kein rückwirkender Messwert-Join";;umgesetzt;ausstehend
https://www.powertech-performance.com/keramik-fuer-auto-erfurt-vorteile-haltbarkeit/;1;unbekannt;404;https://www.powertech-performance.com/blog/keramik-fuer-auto-erfurt-vorteile-haltbarkeit/;308;"Redirect lokal implementiert; kein rückwirkender Messwert-Join";;umgesetzt;ausstehend
https://www.powertech-performance.com/professionelle-cabrioverdeck-impraegnierung-und-reinigung/;1;unbekannt;404;https://www.powertech-performance.com/blog/professionelle-cabrioverdeck-impraegnierung-und-reinigung/;308;"Redirect lokal implementiert; kein rückwirkender Messwert-Join";;umgesetzt;ausstehend
https://www.powertech-performance.com/profi-keramikversiegelung/;1;unbekannt;404;https://www.powertech-performance.com/blog/profi-keramikversiegelung/;308;"Redirect lokal implementiert; kein rückwirkender Messwert-Join";;umgesetzt;ausstehend
